"Feature",Pvalues,FDR,Y,O,LDAscore
Bacteroides,0.0011089,0.030972,0,426590,-5.33
Candidatus_Saccharimonas,0.0011089,0.030972,0,5316.1,-3.42
Caproiciproducens,0.001602,0.030972,2465.1,0,3.09
Anaerotruncus,0.0042747,0.061984,25174,7349.6,3.95
Clostridium_sensu_stricto_1,0.0091207,0.087919,7270.7,56182,-4.39
Adlercreutzia,0.014556,0.087919,3859.5,0,3.29
Anaerosporobacter,0.014574,0.087919,0,9121.6,-3.66
Flavonifractor,0.014574,0.087919,0,9034.4,-3.65
Lachnoclostridium,0.015158,0.087919,289260,142900,4.86
ASF356,0.015158,0.087919,57867,19086,4.29
Ruminiclostridium_5,0.0266,0.13077,72981,25796,4.37
GCA_900066225,0.027056,0.13077,473.09,1975.4,-2.88
A2,0.032125,0.14333,198030,44795,4.88
Erysipelatoclostridium,0.0455,0.17593,30925,9412.1,4.03
Candidatus_Soleaferrea,0.0455,0.17593,30627,10806,4
Oscillibacter,0.063291,0.22943,104550,61208,4.34
Lachnospiraceae_NK4A136_group,0.086476,0.26624,1751800,1057100,5.54
Akkermansia,0.086476,0.26624,148130,63183,4.63
Peptococcus,0.087217,0.26624,1693.2,145.25,2.89
DNF00809,0.099945,0.28984,5627.3,2556.4,3.19
Acetatifactor,0.11608,0.30604,41956,77156,-4.25
Tyzzerella,0.11608,0.30604,2614.5,7059.1,-3.35
Lachnospiraceae_FCS020_group,0.15313,0.38615,6822.5,15948,-3.66
Ruminococcaceae_UCG_009,0.19793,0.46062,9362.3,16820,-3.57
Lactobacillus,0.19854,0.46062,1137700,1821100,-5.53
Ruminococcaceae_UCG_005,0.25179,0.48932,6125.3,10748,-3.36
Ruminococcus_1,0.25245,0.48932,34387,22136,3.79
Lachnospiraceae_UCG_010,0.25245,0.48932,2788.8,1917.3,2.64
Turicibacter,0.2531,0.48932,347080,525940,-4.95
Ruminiclostridium,0.2531,0.48932,145790,96067,4.4
Angelakisella,0.28331,0.51122,28336,16035,3.79
Anaeroplasma,0.31731,0.51122,43898,67947,-4.08
GCA_900066575,0.31731,0.51122,28983,42935,-3.84
Enterorhabdus,0.31731,0.51122,27141,19783,3.57
Intestinimonas,0.31731,0.51122,36677,31112,3.44
Alistipes,0.31731,0.51122,732030,413960,5.2
Ruminococcaceae_UCG_013,0.39071,0.59735,10607,5054.6,3.44
Tyzzerella_3,0.39137,0.59735,6299.6,8918.2,-3.12
Defluviitaleaceae_UCG_011,0.41541,0.61779,2714.1,580.99,3.03
Anaerostipes,0.43745,0.6343,1892.4,1162,2.56
Jeotgalicoccus,0.45246,0.63777,2191.2,3747.4,-2.89
Lachnospiraceae_UCG_004,0.46184,0.63777,3336.6,5635.6,-3.06
Staphylococcus,0.56502,0.70085,4531.7,27365,-4.06
Family_XIII_AD3011_group,0.5661,0.70085,1593.6,1365.3,2.06
Roseburia,0.56771,0.70085,135780,109520,4.12
Ruminococcaceae_UCG_010,0.56771,0.70085,4257.9,5403.2,-2.76
Acetitomaculum,0.56793,0.70085,2664.3,7698.2,-3.4
Family_XIII_UCG_001,0.66781,0.77515,4282.8,3282.6,2.7
Not_Assigned,0.66824,0.77515,4033300,4294200,-5.12
Butyricicoccus,0.66824,0.77515,52190,13595,4.29
Marvinbryantia,0.72062,0.81953,8067.5,9528.3,-2.86
Ruminococcaceae_UCG_014,0.7751,0.84822,138490,134150,3.34
Lachnospiraceae_UCG_006,0.7751,0.84822,39541,39972,-2.34
Desulfovibrio,0.82167,0.88254,29905,37910,-3.6
Ruminiclostridium_6,0.88546,0.8864,3112.5,1626.8,2.87
Candidatus_Stoquefichus,0.88578,0.8864,2141.4,2382.1,-2.08
Lachnospiraceae_UCG_001,0.8864,0.8864,88269,84593,3.26
Ruminiclostridium_9,0.8864,0.8864,62448,63038,-2.47
