function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.1.1.1	50168.54	56476.89000000001	107684.77	111186.6	88769.19	68509.52999999998	55080.8	78353.02	54473.62	74294.58	69233.72	71769.15000000001	18682.47	35895.94	25472.75	37216.64	47286.630000000005	19587.18	32809.04	34617.58	21585.42	32360.39	27249.81	29600.25	27423.72	21506.29
EC:1.1.1.100	38527.81	49117.16	99913.97	103682.97	86719.29	57142.38	52779.71	64816.04	50079.59	64595.52	67923.06	59800.01	35799.95	78203.31999999999	26615.99	78995.70999999999	55804.25	52678.15	55812.130000000005	60736.85	66504.93	66993.73	59444.64	42662.51	34386.69	67873.5
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	5161.0	4937.17	33.0	28.75	19.25	49.67	4234.83	3785.08	5036.14	5130.42	5508.6	5845.530000000001	1187.33	1753.66	4117.17	2404.92	1542.17	1987.58	2740.84	1912.42	2215.83	2684.84	3275.42	970.08	2478.25	2336.42
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.5	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	2717.5	3772.5	5646.5	4746.0	444.0	971.0	2077.5	5054.0	6990.5	7406.0	9121.5	5834.0	830.0	1167.0	574.0	2141.0	1221.0	242.0	1337.0	1403.0	688.0	1116.0	167.0	815.0	1286.5	696.0
EC:1.1.1.11	0.0	0.0	4.0	3.0	0.0	2.67	0.0	0.0	308.72	145.0	219.85	207.86	40.08	44.83	8.75	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	0.0	0.0	20.0	9.0	11.0	39.0	2.0	0.0	6.0	0.0	0.0	0.0	74.0	21.5	24.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
EC:1.1.1.125	5161.0	4928.67	31.0	28.75	19.25	52.34	3906.83	3712.58	5309.36	5275.42	5728.45	6046.389999999999	452.33	1941.16	4166.92	2030.17	1542.17	1975.08	2292.51	1303.42	2148.83	1470.67	406.17	941.58	1434.75	1128.42
EC:1.1.1.130	5134.5	4936.67	22.67	22.42	24.42	1036.0	3878.16	3702.41	4660.84	4948.84	5250.17	5592.67	528.15	1695.79	4117.25	2034.6	1758.6	2041.25	2400.34	1446.2600000000002	2068.83	1493.0700000000002	521.84	911.75	1507.08	1286.92
EC:1.1.1.132	0.0	0.0	117.0	163.0	46.0	193.0	64.0	15.0	45.0	6.0	13.0	17.0	6.0	43.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.5	0.0
EC:1.1.1.133	1617.27	3110.94	7582.2	9195.2	11311.1	3114.51	7740.74	4564.85	1004.89	820.8599999999999	3332.59	1105.03	10410.54	26109.82	6269.83	24024.69	11392.96	26459.38	15080.89	16068.02	35669.09	19647.7	32494.08	10788.75	9536.68	36864.98
EC:1.1.1.136	0.0	8.5	0.0	0.0	0.0	0.0	330.0	72.5	35.5	0.0	15.0	0.0	429.5	51.5	25.0	357.5	0.0	0.0	457.0	739.33	110.17	1361.83	479.5	104.83	1066.67	1119.33
EC:1.1.1.137	0.0	0.0	11.0	21.33	0.0	0.0	260.0	0.0	9.0	0.0	0.0	0.0	35.400000000000006	88.4	11.4	6.2	2.6	1.0	12.8	0.0	2.0	0.0	0.0	3.4	0.0	2.6
EC:1.1.1.14	2717.5	6132.5	5512.5	4582.0	7395.67	874.67	9284.0	6592.0	7524.719999999999	7722.33	10952.02	6306.360000000001	11272.48	23713.55	4078.33	24085.1	8816.1	3255.5	14764.83	17989.66	5895.5	28373.39	10841.0	10780.66	11245.17	12286.66
EC:1.1.1.140	11220.27	10395.78	6440.0	8337.83	2896.76	2454.0	10473.9	11170.51	10481.2	10711.29	12203.85	12192.73	536.45	3126.01	10254.61	4323.34	5089.2	4949.63	8496.41	4425.04	4838.0	4169.66	930.74	2617.36	3676.3	2739.5
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	5226.0	7305.34	162.0	223.75	7383.42	415.17	9250.66	6742.91	5147.56	5351.67	7002.52	6157.700000000001	13109.07	28010.83	9547.42	24785.34	11166.34	5869.74	11473.01	14174.75	5897.16	21433.660000000003	9373.18	13498.57	4373.67	6382.75
EC:1.1.1.159	5018.0	4939.0	9.0	19.75	58.25	10.0	4875.0	3689.75	4603.0	4844.0	5153.0	5492.0	2029.65	15098.3	4030.75	14362.1	2233.1	2337.25	6913.5	9658.75	2841.5	11037.9	4299.5	3689.75	3882.25	4621.75
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	12959.04	15320.55	24993.7	26628.28	7890.27	6878.02	17159.309999999998	20302.28	20672.42	21313.82	27742.6	19259.59	8806.3	24699.19	11543.46	24898.42	11495.89	16374.52	18915.63	19008.07	23091.51	19951.23	15817.22	11877.64	9331.64	26766.57
EC:1.1.1.17	13724.27	15226.61	32491.370000000003	34352.95	23326.68	20283.67	15313.9	21163.76	15725.48	21178.79	20094.67	20185.2	943.03	2719.01	6476.4400000000005	4523.59	9734.03	4811.55	7749.57	6911.040000000001	5114.17	4713.74	3951.82	4881.780000000001	6082.05	3857.08
EC:1.1.1.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.18	12.5	42.5	294.87	371.87	119.17	1451.0	105.83	47.83	1026.83	450.17	686.72	664.5799999999999	443.99	369.15	79.33	67.08	73.83	8216.17	106.51	142.84	12167.0	479.0	6922.42	34.17	562.3299999999999	12833.17
EC:1.1.1.193	7894.0	8791.67	5702.17	4813.42	1801.59	2073.34	9946.66	8778.91	12004.81	12618.92	15496.94	11688.53	7032.02	9114.91	6887.23	12109.17	8191.0	16618.33	7223.34	6305.42	22123.08	6951.49	18089.93	6627.31	7412.79	21254.58
EC:1.1.1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	70.5	0.0	6.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.202	0.0	0.0	0.0	0.0	0.0	0.0	1133.0	1607.0	308.72	145.0	219.85	207.86	270.33	32.33	5.75	0.0	1606.0	0.0	5.67	0.0	2.0	0.0	0.0	514.0	0.0	1237.0
EC:1.1.1.203	0.0	0.0	127.0	174.0	46.0	225.67	51.0	15.0	45.0	6.0	13.0	17.0	45.0	125.42	43.0	9.17	0.0	0.0	14.0	0.25	4.0	0.75	5.0	0.0	2.5	0.0
EC:1.1.1.205	15563.27	18985.61	38331.37	39977.95	35451.85	24409.01	21959.9	25677.26	16642.98	23321.12	22607.34	22316.7	14326.02	27977.46	10144.9	28033.97	22004.56	33224.8	18971.7	20874.87	44390.92	23342.46	32692.33	17631.239999999998	15073.34	45934.84
EC:1.1.1.206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.215	5161.0	4928.67	136.0	193.75	54.25	235.67	3955.83	3727.58	5039.64	5136.42	5521.6	5855.530000000001	464.58	1739.83	4155.17	2014.42	1542.17	1975.08	2318.84	1303.42	1992.83	1422.67	396.42	841.58	1449.04	1126.42
EC:1.1.1.219	3.0	0.0	125.0	163.0	50.0	193.0	64.0	34.0	45.0	6.0	13.0	17.0	305.08000000000004	93.0	0.0	17.0	0.0	0.0	12.0	0.0	178.0	61.0	104.5	100.0	70.0	143.0
EC:1.1.1.22	14958.0	19063.67	41311.2	43215.95	41379.92	32638.34	17929.33	21773.58	11670.14	21514.750000000004	15161.27	22056.03	9810.02	22966.27	6843.3	21800.54	19051.87	84714.32	11931.67	17504.5	117675.91	17045.71	67859.94	13279.21	17097.08	121415.08
EC:1.1.1.220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.23	8119.6	11156.27	5684.17	4792.42	8526.19	2828.34	11354.56	10083.91	12211.31	12821.12	16386.34	12085.03	12713.12	26437.31	8458.83	27633.77	12481.3	19043.13	15237.240000000002	16141.62	24840.58	20552.39	21656.33	13287.510000000002	10393.59	24767.58
EC:1.1.1.243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.25	9510.27	13948.61	13271.37	14034.62	12179.35	5162.18	16764.9	15240.76	13910.36	13904.12	19330.74	13629.64	16721.14	44746.8	11755.73	43242.67	17949.09	20384.47	23524.05	26966.54	26537.42	31087.09	25641.0	18523.41	12222.92	28685.51
EC:1.1.1.251	5122.0	4894.17	9.0	19.75	8.25	10.0	3876.33	3684.58	4964.89	5090.67	5468.85	5793.530000000001	246.25	1524.83	4105.17	2004.67	1542.17	1975.08	2254.84	1303.42	1981.83	1422.67	393.67	841.58	1430.25	1126.42
EC:1.1.1.26	0.0	10.0	23.0	14.0	11.0	41.67	2.0	0.0	6.0	0.0	0.0	0.0	66.0	49.0	15.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.261	0.0	188.5	3.0	0.0	0.0	0.0	57.5	49.5	3.0	3.0	45.0	24.5	141.5	194.5	0.0	11.0	110.5	0.0	58.5	0.0	1.5	0.0	0.0	36.5	0.0	18.0
EC:1.1.1.262	5164.0	4975.17	161.0	212.75	891.25	294.34000000000003	4810.83	3839.08	5701.58	5450.42	6430.3	6278.25	5466.599999999999	7479.990000000001	6059.32	7907.67	3930.17	24194.660000000003	3534.51	3266.92	33092.08	4648.34	19747.26	4323.48	7297.79	33570.25
EC:1.1.1.264	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	0.0	0.0	80.25	56.25	12.83	6.33	63.83	17.67	36.17	117.67	43.5	9.83	24.67	34.17	22.83	20.17
EC:1.1.1.267	5178.5	7304.17	155.67	214.42	7356.59	1432.34	8689.66	4560.91	5116.81	5296.92	6961.4400000000005	6109.030000000001	13239.919999999998	25945.04	7649.23	25413.6	11064.1	18606.33	13129.84	14497.67	24060.58	19831.14	21935.93	12427.31	9157.79	24195.58
EC:1.1.1.27	20119.54	25711.88	75521.4	79117.73	63430.69	46045.51	36042.48	47847.2	23428.56	36346.73	32926.32	32876.7	9727.91	12889.27	8036.92	12672.19	33396.619999999995	8829.44	17793.219999999998	17671.559999999998	9743.18	16452.43	10828.05	18025.52	12598.77	15418.18
EC:1.1.1.271	5164.0	7211.17	34.0	42.75	1168.92	81.67	5682.33	4205.08	4719.92	5071.75	6256.42	5877.17	5251.95	19997.92	6123.15	19980.17	4737.67	25654.83	7704.0	10700.58	36666.58	12075.49	20793.92	7057.139999999999	7946.67	39357.41
EC:1.1.1.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.28	19985.27	25815.28	37504.17	39542.5	28459.93	24230.01	26204.730000000003	31043.34	21600.12	28424.21	27625.27	28366.73	7676.889999999999	33942.520000000004	11423.07	31756.0	19917.66	20040.800000000003	20241.35	25164.8	25863.0	24367.47	22496.92	13829.5	11685.46	31329.870000000003
EC:1.1.1.281	0.0	0.0	117.0	163.0	46.0	193.0	51.0	15.0	45.0	6.0	13.0	17.0	39.0	48.0	4.0	7.0	0.0	0.0	24.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.282	5265.0	5021.34	9.0	19.75	8.25	10.0	3983.16	3779.91	4774.59	5087.09	5384.75	5731.34	238.59	1572.5	4258.09	2092.34	1607.84	2078.41	2358.84	1315.09	2058.16	1455.34	407.34	881.91	1493.25	1184.09
EC:1.1.1.284	8402.17	8857.84	5663.5	4776.75	2461.91	2784.35	7707.34	10187.6	12253.14	12773.75	15404.1	11960.53	1368.24	3250.42	5950.17	4294.09	3440.16	2732.42	6262.83	3158.0	3333.84	2874.07	633.25	2058.58	2739.04	1795.41
EC:1.1.1.287	0.0	0.0	0.0	0.0	0.0	0.0	62.0	101.0	0.0	0.0	0.0	0.0	467.0	373.0	260.0	83.0	120.0	89.0	107.0	34.0	49.0	516.0	0.0	114.0	23.0	0.0
EC:1.1.1.289	0.0	0.0	0.0	0.0	0.0	0.0	62.0	101.0	0.0	0.0	0.0	0.0	501.5	438.0	260.0	83.0	120.0	89.0	119.0	34.0	49.0	516.0	1.5	114.0	23.0	0.0
EC:1.1.1.29	12.5	2361.5	130.67	183.67	7337.34	1360.17	4646.83	766.3299999999999	122.17	151.5	1452.84	270.5	10640.259999999998	22550.63	2686.56	21736.18	9348.93	4569.92	10424.0	12953.0	4828.25	16964.05	12761.17	11261.73	6984.54	5252.83
EC:1.1.1.290	5161.0	4928.67	129.0	189.75	54.25	214.67	3968.83	3727.58	5039.64	5136.42	5521.6	5855.530000000001	3107.58	2820.58	4289.17	4329.17	3750.17	15253.83	2552.84	1374.92	20052.08	1763.67	12471.92	3248.58	5370.79	18785.42
EC:1.1.1.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.3	20203.6	23587.61	38445.37	40153.7	33504.439999999995	22849.01	22733.72	27847.82	21431.620000000003	28220.21	27354.94	27884.23	14640.69	29261.94	12910.669999999998	29917.46	22898.74	22683.21	18567.75	21566.96	28810.74	23921.88	24773.08	18030.42	15792.59	28857.67
EC:1.1.1.30	2730.0	3815.0	5670.17	4759.67	468.17	2029.67	2004.33	4970.83	6995.17	7409.17	9122.67	5834.0	628.07	1355.49	445.58	2147.33	1164.83	170.67000000000002	1321.84	1511.84	678.5	609.8299999999999	192.17	740.1700000000001	1286.33	722.1700000000001
EC:1.1.1.302	0.0	8.5	0.0	0.0	0.0	0.0	1069.0	72.5	35.5	31.0	161.0	7.0	916.5	7.5	0.0	357.5	31.0	12.5	581.0	739.33	248.17	2239.83	647.5	104.83	1329.67	1304.33
EC:1.1.1.303	5414.0	7514.0	11087.0	9285.0	820.0	1674.0	3948.0	9871.0	13879.0	14764.0	18091.0	11607.0	284.25	1573.25	636.0	4158.0	2206.0	306.0	2518.0	2795.0	1276.0	1200.0	324.0	1402.0	2522.0	1392.0
EC:1.1.1.304	6140.0	7371.0	25313.0	26326.0	24820.0	19740.67	7982.0	15551.0	4379.72	10283.0	5594.85	10014.86	782.48	609.9	30.15	132.87	9368.6	2059.0	295.47	2690.0	1933.0	1413.0	3938.0	3866.4	3052.0	3513.6
EC:1.1.1.305	5161.0	5057.67	9.0	19.75	58.25	10.0	4651.83	3731.58	4994.64	5130.42	5508.6	5838.530000000001	1363.25	14979.33	4139.17	14036.67	2137.17	2392.08	6425.84	9057.42	2496.83	9755.67	3730.67	3469.58	2899.75	3469.42
EC:1.1.1.306	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	46.5	9.0	4.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.308	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.31	880.27	365.44	6755.2	8684.53	8759.26	3029.68	4464.74	3893.85	610.1700000000001	507.2	1175.4	607.6700000000001	3820.81	3128.71	2802.42	1618.8000000000002	5769.06	1130.97	4987.53	2994.4500000000003	1421.34	3909.14	1081.9	2356.4300000000003	2303.38	3617.76
EC:1.1.1.310	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.312	0.0	0.0	6.0	11.0	0.0	30.0	2.0	0.0	0.0	0.0	0.0	0.0	50.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.72	145.0	219.85	207.86	19.33	23.33	21.75	0.0	0.0	0.0	5.67	0.0	0.0	0.0	5.0	0.0	0.0	0.0
EC:1.1.1.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	38.67	0.0	6.67	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5
EC:1.1.1.325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.333	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.335	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.33	106.0	47.0	3.0	0.0	609.33	112.0	0.0	396.0	0.0	1868.34	0.0	0.0	0.0
EC:1.1.1.336	5173.5	4971.17	22.67	29.42	24.42	1039.0	3908.66	3730.41	4999.31	5133.59	5509.77	5838.530000000001	729.91	2008.24	4204.17	2047.42	1542.17	14533.74	2327.84	1328.59	19430.83	1458.67	10527.1	841.58	2114.25	18668.75
EC:1.1.1.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.339	0.0	0.0	117.0	163.0	46.0	193.0	51.0	15.0	45.0	6.0	13.0	17.0	167.0	15.5	0.0	10.0	0.0	0.0	0.0	0.0	0.0	13.0	103.0	0.0	54.0	140.0
EC:1.1.1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	19.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.343	15476.27	16422.61	38335.57	39982.15	28078.68	24194.34	17113.9	23260.76	16548.48	23132.79	21104.67	22046.2	4248.080000000001	4795.81	6772.07	6888.07	14347.06	17679.300000000003	8256.67	7854.460000000001	23159.92	5427.32	17038.33	8434.08	10511.13	22894.78
EC:1.1.1.346	15444.0	14751.51	34.0	59.25	28.75	36.34	11687.99	11111.74	14954.17	15351.51	16486.05	17466.59	1156.0	5011.91	12345.76	6093.51	4628.51	5925.24	6812.18	3910.26	5949.49	4674.01	1193.01	2531.07	4309.25	3383.26
EC:1.1.1.35	13039.5	13629.84	5832.5	4993.5	533.5	1320.01	9955.16	12494.16	17033.78	17672.84	20151.7	17528.06	2451.74	5696.33	9063.34	6259.01	4311.34	4194.16	6074.68	4009.84	4685.16	3968.34	969.84	2514.16	4188.08	2962.17
EC:1.1.1.350	5247.0	5017.84	50.0	47.75	8.25	10.0	3971.66	3771.91	5098.56	5238.34	5727.85	5938.200000000001	358.59000000000003	1672.5	4287.09	2092.34	1607.84	2078.41	2392.84	1315.09	2223.16	1503.34	407.34	981.91	1493.25	1184.09
EC:1.1.1.36	0.0	0.0	34.0	20.0	15.0	72.34	2.0	0.0	6.0	0.0	0.0	0.0	263.08	359.5	53.0	27.0	0.0	0.0	19.0	0.0	0.0	0.0	5.0	5.0	0.0	6.0
EC:1.1.1.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.363	15476.27	16422.61	38439.37	40127.95	28128.68	24420.01	17190.9	23275.76	16593.48	23138.79	21117.67	22063.2	3948.93	4602.16	6750.67	6852.87	14344.46	25864.300000000003	8200.869999999999	7854.210000000001	35106.92	5379.57	21621.33	8330.68	11050.63	35703.18
EC:1.1.1.367	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	107.5	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.369	12.5	42.5	294.87	371.87	119.17	1451.0	105.83	47.83	1026.83	450.17	686.72	664.5799999999999	443.99	369.15	79.33	67.08	73.83	8216.17	106.51	142.84	12167.0	479.0	6922.42	34.17	562.3299999999999	12833.17
EC:1.1.1.37	7981.0	8973.67	5570.17	4625.42	520.4200000000001	1899.34	5974.16	10269.41	11963.81	12568.59	14706.27	11672.53	5904.52	4872.49	4849.4	8732.75	6746.0	27841.58	4219.01	3004.26	38205.83	2425.0	24823.93	6352.15	10518.87	37292.92
EC:1.1.1.370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.373	5057.0	4836.0	9.0	19.75	8.25	10.0	3826.5	3645.25	4597.25	4883.75	5192.75	5530.0	221.25	1430.5	3940.75	1919.75	1476.5	1871.75	2139.5	1291.75	1907.5	1390.0	382.75	801.25	1367.25	1068.75
EC:1.1.1.374	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.376	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.38	15227.77	18888.79	43783.7	47646.95	35286.68	23094.01	23337.39	26104.75	16915.99	23687.63	22913.17	22685.38	11590.51	26317.13	10972.35	26066.9	22557.41	8499.369999999999	19348.54	21404.21	9412.49	24158.31	12307.0	16245.32	11331.26	12306.02
EC:1.1.1.380	5057.0	4836.0	13.0	19.75	8.25	10.0	3826.5	3645.25	4905.97	5028.75	5412.6	5737.860000000001	247.58	1506.16	3946.5	1917.0	1476.5	1871.75	2145.17	1291.75	1907.5	1403.17	385.0	801.25	1367.25	1068.75
EC:1.1.1.381	5260.5	5201.17	26.67	22.42	118.42	1063.67	4022.66	5331.41	5018.31	5164.59	5573.77	5855.530000000001	536.58	1919.49	4157.0	2045.25	1623.0	1992.75	2343.01	1446.2600000000002	2037.33	1437.5	423.09	875.75	1453.08	1152.42
EC:1.1.1.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	39.0	26.0	15.0	0.0	0.0	26.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
EC:1.1.1.387	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
