,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
N10-formyl-tetrahydrofolate biosynthesis,5726.386963,6252.467343,6760.912269,26024.15331,28185.97282,26329.04092,6920.818897,5540.590494,24773.79422,27799.46309,20957.23434,25763.08927,22366.64814,22037.04892,24438.20151,21036.32379,26283.04474,27429.50519,30365.69179,34476.33692,21113.33808,23484.67677,23354.62394,20795.55165,31616.74575,24802.02247,24846.7172,31490.07032,10409.41812,23765.3805,24230.91546,22096.36387,28604.62733,35439.81086,27330.44265,35682.42412,30176.65116,33436.64065,23186.75019,23174.92514,19784.71041,24052.78423,30542.29243,33729.29503,21111.38162,22754.8013,10118.3917,14422.32463
4-hydroxyphenylacetate degradation,0.0,19.2196513,7.841254345,55.64147319,50.53738331,83.77830149,0.0,0.0,46.38582189,35.23307587,37.36346433,0.0,13.90307386,13.92561092,90.18023844,67.4925435,42.43681931,61.57261984,122.9297505,138.0164076,18.86233744,40.70541281,0.0,21.47539766,110.8251433,58.63187415,62.06901272,44.56175661,0.0,83.44433066,41.28427164,27.97034661,119.300536,122.973261,16.18197029,303.9078985,184.2080521,128.4987529,13.64003761,57.46222917,0.0,14.37739793,81.86188131,97.52487124,13.56915694,38.09659444,679.6091104,141.2544017
aerobactin biosynthesis,0.0,22.76679842,0.0,61.60591623,41.34706807,147.0791704,0.0,17.5,45.03667523,18.65272416,0.0,0.0,27.54184576,11.74440344,53.60155864,172.3785039,17.28522885,77.19154596,40.7409413,91.53972174,11.0,11.28830587,0.0,18.43037975,204.2161198,49.84629783,53.73100148,36.56959054,0.0,82.09635047,41.60424469,44.85018517,89.15431215,321.6007696,53.20249777,317.9584622,128.4078574,199.6016642,10.14198642,29.6951472,10.02985075,19.94798914,64.43003561,82.27317451,0.0,5.743589744,0.0,13.05699482
superpathway of chorismate metabolism,1058.113613,1047.574264,792.0353351,24115.29577,25583.96006,21613.20205,1531.539083,538.54948,20683.17141,27135.55504,9954.653515,13833.9102,11471.62127,11157.63321,22980.33608,18938.09328,21290.96445,24843.11608,18377.84391,25296.54215,10715.89333,10936.1179,10771.39097,9598.145846,24840.77616,23380.34883,19346.37197,22598.2378,4875.082056,23005.28371,17113.48346,19535.00242,26777.30386,4462.103817,2364.825455,9531.779763,3225.314864,2270.054586,12018.57371,8343.454685,9174.182434,12578.73364,17094.60827,28307.87221,10816.26221,11964.6645,3590.63552,5963.768745
homolactic fermentation,19378.76448,26810.62308,26613.48766,30868.79669,40213.55002,28628.50099,15408.04531,11604.16147,39821.17614,40767.99789,53229.97377,60942.16593,52229.52035,54954.69989,30221.44692,24159.22224,38849.13903,33254.37906,52932.5432,51104.62382,50471.97935,64880.80405,64796.03156,59381.85275,40089.30417,30486.95952,35359.1231,52837.70576,30669.1067,28007.49609,38672.34298,26695.237,33149.1698,53604.9328,70489.2986,32562.67777,58444.51825,50735.34738,54730.24903,51978.31409,55495.6852,57475.47537,53866.18854,40477.61626,50303.74667,54523.6896,29200.71417,43320.36543
glycolysis III (from glucose),90331.00124,81667.59771,88220.61928,32615.38542,40966.37052,32016.99206,85500.0372,77811.36516,38914.82078,41472.65038,64986.78123,66865.15145,58092.84038,63119.59809,31521.52002,25863.28508,38936.54187,35831.10361,52056.96238,50253.70464,57024.29928,84361.79583,85932.51888,79265.72762,42179.71348,32047.24193,35749.74949,51295.78886,41361.8662,28993.55203,37724.98662,28411.52433,34893.89487,67345.58417,89155.67415,39749.21906,95204.21854,84785.54651,61040.4116,76796.80971,73406.66085,63971.26339,54086.65675,44317.8123,56752.99027,60722.36338,79724.80128,73226.18504
superpathway of arginine and polyamine biosynthesis,394.6467778,373.3244099,419.3963663,23425.06262,23715.86664,20765.47516,1320.779423,169.3484315,19921.27631,25177.73793,11661.81775,15828.41751,13220.73176,13119.95236,22588.51272,18185.04247,22172.57695,24323.18399,19556.98697,22926.08984,12493.21727,13268.13243,13205.83307,11584.16233,22741.6585,22816.37493,19629.13893,23804.30887,5928.078888,22285.53926,18240.58757,19312.71309,25885.03442,3126.039765,2095.591796,5984.005039,2983.946916,3192.840752,14277.10167,9408.135551,11109.09598,15089.27903,18697.97324,28593.12929,12866.53766,14286.87607,3785.079907,7202.893709
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",67.59266887,83.90608839,64.58503827,21536.31214,19849.32385,17191.56492,623.860726,46.8027149,16324.68901,21528.14653,8910.793255,12428.01778,10404.5568,10275.78204,21364.88843,16173.7298,19722.2136,21967.25506,15419.53772,20983.2293,9721.621385,10101.71767,9867.824031,8846.614338,20181.87513,21177.24861,16866.04888,19978.82159,4543.639492,21149.86481,15633.01559,17703.36366,23948.32817,270.9740719,116.443675,676.5847562,125.9622385,133.7306561,11070.86179,6226.202566,8398.832276,11716.87121,14462.1924,25441.2074,9931.558839,11120.60605,2450.907309,5079.129385
"arginine, ornithine and proline interconversion",4907.168213,6885.171873,6497.976063,2460.557582,3480.712129,4669.96121,1527.213227,1069.222599,1906.745868,3944.483483,1331.668883,1304.34604,913.3914788,717.602869,1649.90724,2989.504935,1261.113545,2721.00699,2770.768153,3454.024468,783.4271045,890.4734793,1157.513291,726.4966125,4411.603068,2118.580041,2234.865368,2167.023594,228.6309761,2174.23323,1080.687433,1663.789685,3250.124345,9685.36209,16415.67008,8982.797739,7545.714504,8051.214722,727.0688677,3290.167385,771.5666153,790.2276754,3818.55125,3592.778235,890.4654429,615.2991162,1265.894105,1143.141826
L-arginine biosynthesis I (via L-ornithine),8066.262122,10294.33651,9907.202716,23962.54844,29611.43229,23402.33567,6179.95414,5491.867866,25547.92116,30745.903,16132.92219,20616.31109,17025.63915,17068.54846,22429.6956,19027.64044,23739.36807,25524.63569,24777.38887,24137.55218,16509.37224,18963.92651,19746.89876,16179.96765,23982.53067,23255.1192,22074.00873,27896.91913,8329.443427,21747.37176,20102.04995,19560.88435,25838.69312,30003.74663,36250.19547,30909.17661,26862.05067,25536.70076,19295.95663,17655.66636,15969.04212,20210.00964,24797.68869,30023.67737,17671.57737,19279.92292,10819.1119,13355.1326
L-arginine biosynthesis II (acetyl cycle),7807.134459,12373.10265,11749.52771,24482.43636,30085.69772,23978.04206,4462.427459,3953.02752,25626.69563,31358.27247,14801.63042,19322.84339,15964.84492,15863.38372,22802.02148,19477.30437,23708.64885,25933.46494,24069.48336,24993.63824,15334.64645,16999.26349,17409.4874,14646.16988,24903.27949,23736.38289,22068.76028,27406.67197,7477.825282,22397.15735,19845.91378,19852.54941,26570.53485,27616.66368,41687.39435,31524.9275,26210.17037,22312.32237,17664.86515,15451.55211,14278.40301,18503.70317,23552.40419,30253.2141,16057.74356,17545.52224,7953.658772,11109.06191
