,1,2,7,8,11,13,22,23,24,25,30,40,41,42,46,47
Alcohol dehydrogenase,250166.53,223632.96,237065.89,215534.86,176567.06,181208.59,154382.77,231091.78,235254.07,217513.17,113868.33,165601.63,205824.84,201089.13,153808.2,165081.46
3-oxoacyl-[acyl-carrier-protein] reductase,186589.8,171826.06,174073.75,158406.86,124915.42,125212.77,107471.95,162174.29,166093.74,153251.15,79707.33,114093.94,153820.63,141944.06,106593.9,113227.15
3-dehydrosphinganine reductase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-threonine 3-dehydrogenase,567.92,451.01,650.2,324.32,6990.93,9809.17,7692.92,7781.13,7568.42,6860.5,3518.0,8678.5,4956.81,6487.17,7763.29,8679.44
All-trans-retinol dehydrogenase (NAD(+)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyridoxal 4-dehydrogenase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnitine 3-dehydrogenase,1724.0,3544.0,113.0,83.0,206.0,428.0,97.0,74.0,119.0,73.0,21.0,77.0,278.0,73.0,64.0,43.0
D-arabinitol 4-dehydrogenase,0.0,7.5,0.0,0.0,14.5,0.0,0.0,11.5,0.0,12.5,0.0,0.0,0.57,0.0,6.29,20.86
D-threo-aldose 1-dehydrogenase,135.0,173.5,181.33,126.0,149.5,57.0,70.0,113.5,98.0,103.5,21.0,98.22,493.5,74.0,84.0,48.0
2-deoxy-D-gluconate 3-dehydrogenase,256.25,334.11,610.5,235.89,6946.53,9770.0,7659.25,7776.84,7497.75,6878.33,3497.5,8661.39,4842.28,6471.5,7717.58,8658.97
3-dehydro-L-gulonate 2-dehydrogenase,259.08,219.52,533.87,363.65,6813.43,9914.0,7700.75,7701.63,7360.08,6784.17,3541.33,8559.5,4225.48,6404.18,7678.5,8644.58
GDP-mannose 6-dehydrogenase,75.0,99.0,41.0,63.0,52.0,41.0,45.0,46.0,43.0,30.0,9.0,49.0,114.0,43.0,43.0,25.0
dTDP-4-dehydrorhamnose reductase,6470.94,6556.87,6604.09,7531.58,2041.18,1372.1,1757.93,2788.76,3817.26,1918.5,928.5,2714.46,6460.01,2372.52,2818.78,2680.19
UDP-N-acetylglucosamine 6-dehydrogenase,15.0,52.0,16.67,30.0,29.67,9.0,12.67,6.67,22.33,20.33,0.0,8.22,97.33,20.0,11.0,10.0
Ribitol-5-phosphate 2-dehydrogenase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
L-iditol 2-dehydrogenase,1921.84,3897.0,288.49,305.5,400.67,583.84,288.34,229.5,256.67,184.67,46.5,325.66,1008.09,213.84,220.29,170.19
Sorbitol-6-phosphate 2-dehydrogenase,5361.43,4933.36,5774.08,6251.64,14397.86,19992.0,15867.5,17139.26,17344.5,14666.0,7697.0,18847.34,10855.85,14225.93,17046.58,19127.22
Perillyl-alcohol dehydrogenase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-beta-hydroxy-Delta(5)-steroid dehydrogenase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-hydroxybutyryl-CoA dehydrogenase,541.75,778.85,1033.58,605.75,7320.0,9946.67,7990.26,8103.77,7824.41,7101.0,3531.5,9019.1,6406.49,6739.08,7938.62,8806.11
7-alpha-hydroxysteroid dehydrogenase,38.25,57.75,334.25,35.75,6751.5,9686.0,7518.25,7621.25,7339.75,6750.5,3476.5,8494.5,4153.5,6326.75,7581.0,8545.25
Cyclopentanol dehydrogenase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
