,4,5,10,16,18,20,27,29,32,36,37,39,44,45
"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",7125.77,19670.8,18538.51,7731.42,23768.83,50607.14,8175.42,41556.34,28951.92,114967.14,16880.63,122279.8,56485.25,18178.44
"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3],6028.3,15307.57,14637.67,5678.53,13885.49,29481.66,6092.5,24081.33,16636.5,72084.39,18399.16,70760.4,32613.5,11786.73
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",2168.0,13759.34,16738.34,1013.0,1862.0,1690.29,2627.0,2987.34,40.34,29740.66,2156.37,3308.52,441.0,213.0
gldA; glycerol dehydrogenase [EC:1.1.1.6],17861.71,15883.26,17445.66,17799.01,16350.24,12425.35,17664.37,16579.23,12846.53,7117.18,4209.01,5262.63,12928.98,21751.85
GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0
dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],0.0,0.0,0.0,14.5,0.0,22.79,0.0,0.0,0.0,0.0,80.71,15.86,7.0,0.0
"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]",2279.17,7801.0,8681.75,897.83,1202.74,2240.59,2141.67,2060.91,617.0,17037.92,8582.5,4277.67,1712.83,1758.92
mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],20592.04,27896.93,29900.15,21326.18,27224.58,34594.31,21226.2,35079.57,25375.53,60248.18,13269.67,55962.16,35946.65,27886.51
iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],780.16,956.84,590.15,489.16,186.16,772.63,519.66,302.33,404.67,2665.33,11526.71,2578.7,791.0,1115.67
AKR1B; aldehyde reductase [EC:1.1.1.21],0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]",25340.75,27848.15,25305.0,25647.18,37077.41,58735.8,24807.11,52649.4,39767.78,83188.46,27645.96,107413.74,61188.57,38452.83
