,2,5,10,11,18,20,22,25,27,32,36,39,40,44,46
N10-formyl-tetrahydrofolate biosynthesis,6252.467343,28185.97282,27799.46309,20957.23434,26283.04474,30365.69179,21113.33808,20795.55165,24802.02247,24230.91546,27330.44265,33436.64065,23186.75019,30542.29243,21111.38162
4-hydroxyphenylacetate degradation,19.2196513,50.53738331,35.23307587,37.36346433,42.43681931,122.9297505,18.86233744,21.47539766,58.63187415,41.28427164,16.18197029,128.4987529,13.64003761,81.86188131,13.56915694
aerobactin biosynthesis,22.76679842,41.34706807,18.65272416,0,17.28522885,40.7409413,11,18.43037975,49.84629783,41.60424469,53.20249777,199.6016642,10.14198642,64.43003561,0
superpathway of chorismate metabolism,1047.574264,25583.96006,27135.55504,9954.653515,21290.96445,18377.84391,10715.89333,9598.145846,23380.34883,17113.48346,2364.825455,2270.054586,12018.57371,17094.60827,10816.26221
homolactic fermentation,26810.62308,40213.55002,40767.99789,53229.97377,38849.13903,52932.5432,50471.97935,59381.85275,30486.95952,38672.34298,70489.2986,50735.34738,54730.24903,53866.18854,50303.74667
glycolysis III (from glucose),81667.59771,40966.37052,41472.65038,64986.78123,38936.54187,52056.96238,57024.29928,79265.72762,32047.24193,37724.98662,89155.67415,84785.54651,61040.4116,54086.65675,56752.99027
superpathway of arginine and polyamine biosynthesis,373.3244099,23715.86664,25177.73793,11661.81775,22172.57695,19556.98697,12493.21727,11584.16233,22816.37493,18240.58757,2095.591796,3192.840752,14277.10167,18697.97324,12866.53766
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",83.90608839,19849.32385,21528.14653,8910.793255,19722.2136,15419.53772,9721.621385,8846.614338,21177.24861,15633.01559,116.443675,133.7306561,11070.86179,14462.1924,9931.558839
"arginine, ornithine and proline interconversion",6885.171873,3480.712129,3944.483483,1331.668883,1261.113545,2770.768153,783.4271045,726.4966125,2118.580041,1080.687433,16415.67008,8051.214722,727.0688677,3818.55125,890.4654429
L-arginine biosynthesis I (via L-ornithine),10294.33651,29611.43229,30745.903,16132.92219,23739.36807,24777.38887,16509.37224,16179.96765,23255.1192,20102.04995,36250.19547,25536.70076,19295.95663,24797.68869,17671.57737
L-arginine biosynthesis II (acetyl cycle),12373.10265,30085.69772,31358.27247,14801.63042,23708.64885,24069.48336,15334.64645,14646.16988,23736.38289,19845.91378,41687.39435,22312.32237,17664.86515,23552.40419,16057.74356
chorismate biosynthesis I,6315.515163,30099.41343,31618.99255,10058.44264,21842.82277,19880.95097,10617.58942,9525.865807,25562.46581,17597.99257,28472.4779,15180.93113,12214.03879,19097.43601,11077.16743
